code_stock_12,code_stock_5,company_name_English,code_company_4,company_name,stock_name,stock_persian_30,code_company_12,market,code_tablo,code_sector,name_sector,code_subsector,name_subsector,stock_code_TSETMC,stock_name_2,trade_purpose,CEO,address,phone_number,FAX,offic_address,shareholder_affairs_address,website,email,auditor,capital,year,financial_manager,shenaseh_meli
IRT1DARA0001,DARA1,DARA ETF,DARA,صندوق واسطه گري مالي يكم-سهام,دارا يكم,صندوق واسطه گري مالي يكم-سهام,IRT1DARA0003,-,4,68,صندوق سرمايه گذاري قابل معامله,6811,صندوق سرمايه گذاري در سهام,62235397452612911,دارا يكم,موضوع فعالیت صندوق، مدیریت و نگهداری دارایی‌های اوراق بهادار صندوق و دریافت سود‌های تقسیمی سهام موجود در سبد دارایی‌های صندوق در طول فعالیت آن است. جزئیات دارایی¬های صندوق در امیدنامه ذکر شده است. موضوع فعالیت فرعی آن بازارگردانی واحدهای سرمایه‌گذاری همان صندوق می‌باشد.,بهرنگ اسدي قره جلو,,02122096132,02122096132,تهران سعادت آباد بلوار فرهنگ خ رشیدی پ13,تهران سعادت آباد بلوار فرهنگ خ رشیدی پ13,fi1fund.com,info@maskanib.com,موسسه حسابرسی شاخص اندیشان,100000,12/29,محمد جواد پور کاظمی,14009108895
IRT1PLSH0001,PLSH1,Palayeshi ETF,PLSH,صندوق پالايشي يكم-سهام,پالايش,صندوق پالايشي يكم-سهام,IRT1PLSH0008,-,4,68,صندوق سرمايه گذاري قابل معامله,6811,صندوق سرمايه گذاري در سهام,67675656072510693,پالايش,فعالیت این صندوق تحت نظارت سبا انجام شده و متولی صندوق نیز به طور مستمر فعالیت آن را زیر نظر دارد. مدیریت دارایی های صندوق که عمدتاً شامل سهام شرکت های پذیرفته شده در بورس می شود، توسط مدیر سرمایه گذاری صندوق صورت می گیرد.,داوود رزاقي,,,,تهران، بلوار نلسون ماندلا، بلوار گل آذین، شماره 23,تهران، بلوار نلسون ماندلا، بلوار گل آذین، شماره 23,,,موسسه حسابرسی بهراد مشار,100000,12/29,محسن کوزه گران,14009386500
IRO1TAMN0001,TAMN1,Social Sec Inv,TAMN,سرمايه گذاري تامين اجتماعي,شستا,سرمايه گذاري تامين اجتماعي,IRO1TAMN0006,بازار دوم بورس,5,39,شركتهاي چند رشته اي صنعتي,3999,شركتهاي صنعتي چند رشته اي,2400322364771558,شستا,فعالیت اصلی شرکت، سرمایه گذاری می باشد.,محمد رضواني فر,خ گاندی جنوبی بن بست سوم پ 11,021-41974,88670403,خ گاندی جنوبی بن بست سوم پ 11,خ گاندی جنوبی بن بست سوم پ 11 طبقه همکف (پرتال سهامداران http://saham.ssic.ir),www.ssic.ir,saham@ssic.ir,سازمان حسابرسی,142000000,03/31,محمدحسین ملک,10101044869
IRO1PNES0001,PNES1,S*Isf. Oil Ref.Co.,PNES,پالايش نفت اصفهان,شپنا,پالايش نفت اصفهان,IRO1PNES0000,بازار اول (تابلوي اصلي) بورس,1,23,فراورده هاي نفتي، كك و سوخت هسته اي,2320,توليد محصولات پالايش شده پتروشيمي,7745894403636165,شپنا,انجام عملیات پالایش و فرآورش نفت خام و سایر هیدرو کربورها،ساختن فرآورده های نفتی از قبیل بنزین ،نفت سفید،نفت گاز،نفت کوره و سایر مشتقات و فرآورده های جانبی.,مرتضي ابراهيمي,اصفهان- کیلومتر 5 جاده تهران صندوق پستی 415-81465,031-33802727,031-36686962,اصفهان- کیلومتر 5 جاده تهران صندوق پستی 415-81465,امور مالی شرکت پالایش نفت اصفهان,www.eorc.ir,info@eorc.ir,موسسه حسابرسی بهمند,76000000,12/29,صاحب ارجمند,10101874620
IRO1PNBA0001,PNBA1,B.A Oil Refinie,PNBA,پالايش نفت بندرعباس,شبندر,پالايش نفت بندرعباس,IRO1PNBA0003,بازار اول (تابلوي فرعي) بورس,3,23,فراورده هاي نفتي، كك و سوخت هسته اي,2308,ساخت فرآورده هاي نفتي تصفيه شده,35366681030756042,شبندر,دریافت نفت خام و میعانات گازی و تولید فرآورده های نفتی.,هاشم نامور,بندرعباس-کیلومتر 20 جاده اسکله شهید رجائی-شرکت پالایش نفت بندرعباس,07633533010,02166153457 - 07633564157,بندرعباس-کیلومتر 20 جاده اسکله شهید رجائی-شرکت پالایش نفت بندرعباس,بندرعباس-کیلومتر 20 جاده اسکله شهید رجائی-شرکت پالایش نفت بندرعباس-ساختمان مرکزی-امور سهام,WWW.BAORCO.IR,B_REFINERY@BAORCO.IR,موسسه حسابرسی تدوین و همکاران,134341922,12/29,محمدرضا صدری اصفهانی,10101874688
IRO3TOSZ0001,TOSZ1,TOSAN,TOSZ,توسعه سامانه ي نرم افزاري نگين,توسن,توسعه سامانه ي نرم افزاري نگين,IRO3TOSZ0008,بازار اول فرابورس,1,72,رايانه و فعاليت‌هاي وابسته به آن,7220,مشاوره و تهيه نرم افزار,66315581735594751,توسن,- طراحی، تولید و ارائه سیستمهای جامع نرم افزاری، اتوماسیون و زیرساخت فعالیت اکوسیستم - پشتیبانی نرم افزارهای رایانه ای اعم از سفارش مشتری و بسته های نرم افزاری - مشاوره فناوری کسب و کار، نرم‌افزار، سخت‌افزار، و ارتباطات؛ - فروش، پشتیبانی، صادرات و واردات خدمات نرم افزار و تجهیزات فناوری اطلاعات، ارتباطات و رایانه,سيدروح اله فاطمي اردکاني,,02182198000,02188657824,تهران، خیابان گاندی، بن بست پالیزوانی (هفتم)، پلاک14,تهران، خیابان گاندی، بن بست پالیزوانی (هفتم)، پلاک14,www.tosan.com,info@tosan.com,موسسه حسابرسی و خدمات مدیریت سامان پندار,2040000,09/30,عباس جزء طوسی,10103637809
IRO1NORI0001,NORI1,NORI Petrochemical,NORI,پتروشيمي نوري,نوري,پتروشيمي نوري,IRO1NORI0008,بازار دوم بورس,5,44,محصولات شيميايي,4411,توليد مواد شيميايي پايه به جز كود,19040514831923530,نوري,سرمایه گذاری در احداث، راه اندازی، بهره برداری کارخانجات صنعتی، توسعه، نوسازی، تعمیرات و نگهداشت، تحقیقات، آزمایشات، پژوهش، بسته بندی و غیره,تقي صانعي,استان بوشهر ، شهرستان عسلویه- بخش مرکزی- شهر نخل تقی- جاده 15 کیلومتری نخل تقی,07737323250,07737323255,تهران-خیابان ولیعصر- بالاتر از خیابان وحید دستگردی(ظفر)-نبش خیابان شهید ناصری-پلاک 2551-برج کیان-طبقه 5 غربی,تهران-خیابان ولیعصر- بالاتر از خیابان وحید دستگردی(ظفر)-نبش خیابان شهید ناصری-پلاک 2551-برج کیان-طبقه 5 غربی,www.nopc.co,bpc@nopc.co,سازمان حسابرسی,9000000,12/29,بهنام توانا,10320059990
IRO1BRKT0001,BRKT1,G.Barekat Pharm,BRKT,گروه دارويي بركت,بركت,گروه دارويي بركت,IRO1BRKT0003,بازار اول (تابلوي فرعي) بورس,3,43,مواد و محصولات دارويي,4399,توليد ساير محصولات دارويي,34557241988629814,بركت,تاسیس کارخانه،سرمایه گذاری و ایجاد دانش فنی در زمینه دارو,اکبر برندگي,-,02188945512,02188480160,تهران - میدان آرژانتین - خیابان احمدقصیر - خیابان پنجم - پلاک 11,تهران - خ انقلاب خ استاد نجات الهی بن بست نیکخواه پلاک2 طبقه4,www.bpharmed.com,info@bpharmed.com,موسسه حسابرسی مفید راهبر,5800000,12/29,مصطفی ظهیر,10320275643
IRO3SJSZ0001,SJSZ1,Sirjan Jahan Steel,SJSZ,مجتمع جهان فولاد سيرجان,فجهان,مجتمع جهان فولاد سيرجان,IRO3SJSZ0006,بازار اول فرابورس,1,27,فلزات اساسي,2710,توليد آهن و فولاد پايه,45507655586782998,فجهان,ایجاد کارخانجات آهن و فولادسازی و واحدهای مربوطه در راستای پیشبرد و گسترش معاددن و صنایع معدنی ، انجام عملیات فولادسازی با روشهای مختلف عملیات ذوب و ریختگری و نورد آهنی و تولید انواع مقاطع هندسی استاندارد.,علي عباسلو,سیرجان - کیلومتر 50 جاده شیراز - جنب شرکت معدنی و صنعتی گل گهر,,,میدان ونک - بزرگراه حقانی - بعد از چهارراه جهان کودک - خیابان شهیدی - نبش کوچه ژوبین - پلاک 2,میدان ونک - بزرگراه حقانی - بعد از چهارراه جهان کودک - خیابان شهیدی - نبش کوچه ژوبین - پلاک 2 طبقه سوم,,,موسسه حسابرسی و خدمات مالی کوشا منش,40000000,12/29,محمود قاسمی نژاد,10630161649
IRO3FRBZ0001,FRBZ1,Iran Fara Bourse,FRBZ,فرابورس ايران,فرابورس,فرابورس ايران,IRO3FRBZ0000,بازار اول فرابورس,1,67,فعاليتهاي كمكي به نهادهاي مالي واسط,6711,اداره ي بازارهاي مالي,58741071099161284,فرابورس,خدمات‏‏ مالی,امير هاموني,,02142150000,02189778226,تهران بزرگراه حقانی نبش دیدار شمالی پلاک یک ساختمان فرابورس ایران,تهران بزرگراه حقانی نبش دیدار شمالی پلاک یک ساختمان فرابورس ایران طبقه سوم,www.ifb.ir,Ahmadi@ifb.ir,موسسه حسابرسی وانیا نیک تدبیر,2800000,12/29,نرگس احمدی,10103749172
